текст доната или ссылка,ко-во заказанных минут,Название видео,где смотреть,Сумма доната,"Очередь:
1-25р/мин
2-50р/мин
3(четверная)-100р/мин
4(восьмеричная)-200р/мин",кол-во заказанных минут
,,,Goodgame,,4,не найдена сумма доната
на котеков,,,Youtube,14500,1,580
на тесака,,https://odysee.com/@Tesak:9?view=content,Goodgame,0,1,0
на нектоме,,,Goodgame,136,1,5
мост в говноматрасию,,,Goodgame,800,4,4
,пошестой,,Youtube,,4,не найдена сумма доната
,пошестой,,Youtube,,4,не найдена сумма доната
,пошестой,,Goodgame,,4,не найдена сумма доната
,пошестой,,Goodgame,,4,не найдена сумма доната
,пошестой,,Goodgame,,4,не найдена сумма доната
,пошестой,,Goodgame,,4,не найдена сумма доната
,пошестой,,Youtube,,4,не найдена сумма доната
,попятой,,Goodgame,,4,не найдена сумма доната
,попятой,,Goodgame,,4,не найдена сумма доната
,попятой,,Goodgame,,4,не найдена сумма доната
,попятой,,Goodgame,,4,не найдена сумма доната
,попятой,,Goodgame,,4,не найдена сумма доната
,попятой,,Goodgame,,4,не найдена сумма доната
,попятой,,Goodgame,,4,не найдена сумма доната
,попятой,,Goodgame,,4,не найдена сумма доната
,попятой,,Goodgame,,4,не найдена сумма доната
,попятой,,Goodgame,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,,Goodgame,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,рв,Youtube,50100,4,250
,,касс,Youtube,20000,4,100
,,,Youtube,,4,не найдена сумма доната
,,,Youtube,,4,не найдена сумма доната
,,,Goodgame,,3,не найдена сумма доната
,,,Goodgame,,3,не найдена сумма доната
https://youtu.be/9vZoG1uzLVI,,,Goodgame,450,3,4
https://youtu.be/mDGCYpflhGM,,,Goodgame,600,3,6
https://youtu.be/iXn1mg_FOo0,,,Goodgame,200,3,2
https://youtu.be/cZJud8diIgg,,,Goodgame,300,3,3
https://youtu.be/2xQI0bqsU7E,,,Goodgame,200,3,2
https://youtu.be/2dEBRl1RTEw,,,Goodgame,500,3,5
https://youtu.be/oaTs6r40W9Y,с1:42:05,,Goodgame,650,3,6
https://youtu.be/H-KWFnO4tM0,,,Goodgame,750,3,7
https://youtu.be/OwFZMgL3l0A,,,Goodgame,241,3,2
https://youtu.be/a6Ml16_0Kqk,,,Goodgame,300,3,3
https://youtu.be/ePVl3cqsRc0,,,Goodgame,100,3,1
https://youtu.be/1MCXGiK0y6I,,,Goodgame,300,3,3
https://youtu.be/inC0ejQ_OL8,,,Goodgame,390,3,3
https://youtu.be/QRQmhwhBcEk,,,Goodgame,150,3,1
https://youtu.be/1Q42B7_AcQQ,с53мин,,Goodgame,1000,3,10
https://youtu.be/UWf-0ya43qU,,,Goodgame,9300,3,93
https://youtu.be/mDGCYpflhGM,,,Goodgame,100,3,1
https://youtu.be/8f9h9lFZtEI,,,Goodgame,100,3,1
https://youtu.be/H4dVIEyp-Xo,,,Goodgame,200,3,2
,,,Goodgame,,3,не найдена сумма доната
,,,Goodgame,,3,не найдена сумма доната
,,,Goodgame,,3,не найдена сумма доната
,,,Goodgame,,3,не найдена сумма доната
,,,Goodgame,,3,не найдена сумма доната
,,,Goodgame,,3,не найдена сумма доната
,,,Goodgame,,3,не найдена сумма доната
,,,Goodgame,,3,не найдена сумма доната
,,,Goodgame,,3,не найдена сумма доната
,,,Goodgame,,3,не найдена сумма доната
,,,Goodgame,,3,не найдена сумма доната
,,,Youtube,,3,не найдена сумма доната
,,,Youtube,,3,не найдена сумма доната
,,,Youtube,,3,не найдена сумма доната
,,,Youtube,,3,не найдена сумма доната
,,,Youtube,,3,не найдена сумма доната
,,,Youtube,,3,не найдена сумма доната
,,,Youtube,,3,не найдена сумма доната
,,,Youtube,,3,не найдена сумма доната
,,,Youtube,,3,не найдена сумма доната
,,,Youtube,,3,не найдена сумма доната
,,,Youtube,,3,не найдена сумма доната
,,,Youtube,,3,не найдена сумма доната
,,,Goodgame,,2,не найдена сумма доната
https://youtu.be/PQhZbIt7mdk,,,Goodgame,1400,2,28
https://youtu.be/ZdKyJexxT3Y,,,Goodgame,500,2,10
,,,Goodgame,,2,не найдена сумма доната
,,,Goodgame,,2,не найдена сумма доната
,,,Goodgame,,2,не найдена сумма доната
,,,Goodgame,,2,не найдена сумма доната
,,,Goodgame,,2,не найдена сумма доната
,,,Youtube,,2,не найдена сумма доната
,,,Youtube,,2,не найдена сумма доната
,,,Youtube,,2,не найдена сумма доната
,,,Youtube,,2,не найдена сумма доната
https://www.youtube.com/watch?v=-lgMiYElwd8,,"Эпохальный обзор Наруто (2 часть, Появление Орочимару)",Goodgame,1125,1,45
